Name,Model Number,Minimum Amount,Manufacturer,Category,Require Serial,Depreciation,EOL,Notes,Fieldset,Requestable
Samsung B5722,583677879-5,162,Yakitri,Food - Grains,false,ultrices posuere cubilia curae duis,13,bifurcated,Mobile Devices,true
Panasonic GD67,045963050-4,209,Riffpedia,Food - Condiments,false,quisque ut erat curabitur,217,,Laptops and Desktops,false
Motorola Grasp WX404,366927950-4,93,Thoughtbeat,Toys,false,tristique est et tempus,20,cohesive,Mobile Devices,true
BLU Studio X10,264205446-2,188,Skibox,Electronics,true,congue etiam justo etiam pretium,116,national,Laptops and Desktops,false
Sagem MC 825 FM,606388520-X,388,Blogtags,Outdoor,true,in faucibus orci,119,,Laptops and Desktops,true
Huawei G7206,190973390-3,318,Realcube,Audio,true,enim in,166,concept,Laptops and Desktops,true
LG G5 SE,572458691-6,,Brightdog,Food - Frozen Food,true,sodales scelerisque mauris,76,regional,Laptops and Desktops,false
ZTE Star 2,735810946-5,249,Skinder,Books,false,mi nulla ac,,Managed,Mobile Devices,true
BLU Slim TV,505965326-9,81,Blognation,Fitness,false,natoque penatibus et magnis dis,90,strategy,,false
alcatel Pop 2 (4.5),481704516-7,246,Divavu,Food - Snacks,false,,22,Exclusive,Mobile Devices,false
Acer Liquid Z530,872821246-0,383,,Kitchen,false,urna pretium nisl ut,51,Adaptive,Laptops and Desktops,true
HTC Dream,632989525-2,140,Abata,Clothing - Pants,true,in quis justo maecenas rhoncus,,Organic,Laptops and Desktops,false
Spice M-5055,180247085-9,57,Photofeed,Gaming,true,consectetuer adipiscing elit proin risus,39,,Mobile Devices,true
ZTE Blade A7s 2020,023231448-9,439,Bubblebox,Garden,false,pharetra magna vestibulum aliquet,50,Automated,Laptops and Desktops,true
Nokia 6788,400759130-X,269,Nlounge,Food - Beverages,true,bibendum felis sed interdum,,Sharable,Mobile Devices,true
Celkon C44 Duos,005310114-6,489,Brainsphere,Food - Bakery,true,ut,23,product,Laptops and Desktops,false
Nokia C2 Tava,287301830-5,,Trupe,Photography,false,neque vestibulum eget,133,Stand-alone,Mobile Devices,false
Samsung S5750 Wave575,621524092-3,,Edgeify,Travel,true,in,33,Expanded,Mobile Devices,true
Samsung Galaxy Core I8260,091949126-X,266,Yambee,Kitchen,false,quisque ut,,tertiary,Mobile Devices,true
HTC Windows Phone 8X CDMA,862003885-0,474,Blognation,Home,true,vestibulum,159,protocol,Mobile Devices,false
LG Optimus LTE LU6200,715386542-X,495,,Food - Breakfast,true,vel lectus in quam fringilla,104,Business-focused,Mobile Devices,false
verykool s351,018639828-X,285,Topicshots,Food - Bakery,true,,,Switchable,Mobile Devices,true
Sony Xperia E3 Dual,097302617-0,316,Browsezoom,Food - Dairy,false,sed augue aliquam erat,98,Synergistic,,true
Allview Soul X6 Xtreme,371924198-X,147,Zoomcast,Beauty,true,,93,Up-sized,Mobile Devices,false
Nokia 1100,605319295-3,383,Wikido,Office,false,lectus,48,Versatile,,true
Sagem RC 750,973743749-7,287,Blogtags,Food - Meat,true,posuere,221,regional,Mobile Devices,false
Philips Ozeo 8@8,261731828-1,385,,Food - Beverages,false,adipiscing elit,,Object-based,Mobile Devices,false
Plum Trigger Z104,755407821-6,295,Skipstorm,Food - Frozen Desserts,false,lectus vestibulum quam sapien varius,169,Function-based,Laptops and Desktops,false
Nokia 105 (2017),302727982-3,16,Avamba,Garden,false,eleifend,168,radical,Laptops and Desktops,true
Motorola MC55,382066616-8,266,Trudoo,Food - Pasta,true,dui nec nisi,138,adapter,Mobile Devices,true
Motorola ATRIX TV XT682,666612194-5,267,Zoomlounge,Kitchen,true,ut mauris,122,clear-thinking,Laptops and Desktops,false
BLU EZ2Go,247986543-6,4,,Food - Dairy,true,adipiscing lorem vitae mattis,59,neural-net,Mobile Devices,true
Motorola One Fusion,712788343-2,264,Eabox,Food - Beverages,true,urna,50,Operative,Mobile Devices,false
BLU Grand Energy,411770016-2,458,Cogidoo,Food - Frozen Meals,false,tristique tortor,6,zero tolerance,Mobile Devices,false
Samsung Galaxy Note 10.1 N8000,103629398-X,204,Meevee,Food - Produce,false,amet consectetuer adipiscing,165,multi-state,Laptops and Desktops,false
Samsung S7230E Wave 723,350807477-3,455,Zoonoodle,Food - Frozen Foods,false,integer pede,164,interface,,false
Philips X128,432021253-3,408,Quatz,Home,true,,221,real-time,Laptops and Desktops,true
Posh Kick Pro LTE L520,575018234-7,59,Kaymbo,Food - Oils,false,nisl,136,moderator,Laptops and Desktops,false
Motorola MOTOKEY XT EX118,138244497-4,181,Photobug,Food - Baking,true,fusce lacus purus,70,Implemented,Laptops and Desktops,true
BLU Bar Q,794318166-2,472,Realbuzz,Food - Snacks,false,non ligula pellentesque ultrices,,workforce,,false
Samsung P250,345766169-3,53,Zoomlounge,Fitness,true,non ligula pellentesque ultrices phasellus,,global,,false
Samsung T139,623893778-5,219,Wikizz,Home,false,amet cursus id,169,Multi-tiered,Mobile Devices,false
Micromax Q5 fb,039244437-2,117,Twinte,Food - Condiments,false,quis justo maecenas,174,Versatile,Laptops and Desktops,false
Coolpad Mega,531497521-1,234,Kwinu,Food - Snacks,false,tempus,173,optimizing,Laptops and Desktops,true
Asus Transformer Pad TF300TG,349707539-6,,Realblab,Food - Spices,false,eu,,,Laptops and Desktops,false
Xiaomi Redmi 3s Prime,486448142-3,336,Thoughtblab,Fitness,false,ultrices libero non mattis,,Re-engineered,Laptops and Desktops,true
Dell Venue 7 8 GB,067901277-X,,,Food - Salads,false,nonummy,37,productivity,,false
Philips Xenium,930733936-8,36,Rhybox,Outdoor,false,,34,interface,Laptops and Desktops,true
i-mate Ultimate 8502,079480524-8,52,Babbleset,Sports,false,dui maecenas tristique,142,matrices,,true
Motorola E375,550354553-2,3,Feednation,Fitness,false,congue,54,Organized,Mobile Devices,false
Dell Smoke,649111629-8,137,Vitz,Food - Produce,true,eu mi nulla ac,141,Universal,Mobile Devices,true
MWg UBiQUiO 503g,938831256-2,358,Jatri,Clothing - Dresses,false,a suscipit nulla,68,empowering,Laptops and Desktops,true
ZTE Orbit,503043779-7,238,Tagcat,Garden,true,cras non velit,192,Horizontal,Mobile Devices,true
Gionee S96,501437221-X,417,Zoomcast,Food - Dairy,false,nascetur,12,contextually-based,Laptops and Desktops,false
Nokia N72,646107216-0,417,Wikibox,Fitness,false,venenatis tristique fusce congue diam,9,Innovative,Mobile Devices,false
YU Yureka S,171744488-1,100,Wikizz,Home,true,nulla elit ac nulla,41,Pre-emptive,Laptops and Desktops,true
Huawei MatePad Pro 10.8 5G (2019),451912991-5,399,Blogspan,Accessories,true,odio elementum,102,dynamic,Laptops and Desktops,false
Sharp SX862,959553096-4,103,Skaboo,Food - Condiments,false,accumsan tortor,164,Organic,Laptops and Desktops,false
Maxon MX-7990,255310013-2,425,Bubbletube,Outdoor,false,leo rhoncus sed,38,secondary,Mobile Devices,true
Philips V726,944784972-5,,Gigazoom,Food - Frozen Vegetables,true,ornare consequat lectus,148,,Laptops and Desktops,false
Huawei nova 2,980793497-4,470,,Food - Canned Goods,false,massa volutpat convallis,148,Re-engineered,Mobile Devices,false
Vodafone Smart Platinum 7,950389171-X,83,Wikido,Kitchen,true,donec quis orci eget,181,client-server,Mobile Devices,false
Motorola V872,416076984-5,267,Voonte,Automotive,true,nulla,170,6th generation,Mobile Devices,true
ZTE Blade V10 Vita,262661693-1,215,Yabox,Kitchen,true,quisque id justo sit,157,asynchronous,Mobile Devices,false
verykool T742,400855811-X,491,Linklinks,Home,false,vitae,,Multi-channelled,Laptops and Desktops,false
Plum Ram,316804852-6,301,Divanoodle,Food - Cereals,false,tincidunt ante vel,127,contingency,Laptops and Desktops,false
LG G4 Dual,780815602-7,80,Yodoo,Food - Soups,false,venenatis lacinia,97,Future-proofed,Mobile Devices,true
Sony Ericsson txt,745346367-X,381,Avamba,Food - Sauces,true,orci pede venenatis,64,Upgradable,Laptops and Desktops,true
Celkon C007,064133934-8,222,Bubblebox,Food - Produce,true,sollicitudin ut suscipit a,96,Customer-focused,Laptops and Desktops,false
Allview P7 Seon,373185324-8,,,Food - Bakery,false,vestibulum sed magna at,,User-centric,Laptops and Desktops,true
HTC Panache,579983129-2,190,Jayo,Food - Vegetables,true,vel augue,58,artificial intelligence,Laptops and Desktops,true
Huawei MediaPad M2 7.0,920643040-8,213,Aimbo,Food - Frozen,true,,182,composite,Laptops and Desktops,false
HTC Salsa,052563144-5,43,Dabtype,Food - Meat,true,tristique est et tempus semper,146,Enhanced,,true
Nokia 6216 classic,136373434-2,241,Zoomlounge,Food - Snacks,false,,7,didactic,Laptops and Desktops,true
LG G4 Beat,871148705-4,337,Chatterpoint,Pets,true,bibendum felis sed,,,Laptops and Desktops,false
Tecno Spark 3 Pro,382961566-3,347,Cogidoo,Food - Condiments,false,et tempus semper est,34,foreground,Mobile Devices,false
Xiaomi Redmi 2,102342153-4,363,Yabox,Food - Produce,false,congue diam,145,local,Laptops and Desktops,false
BLU Energy XL,149310064-5,12,Twimm,Fitness,false,lectus pellentesque at nulla,31,contextually-based,Mobile Devices,false
ZTE nubia Red Magic 5G Lite,749371192-5,79,Meevee,Food - Produce,false,,81,holistic,Mobile Devices,false
Gigabyte GSmart M3447,489968039-2,,Kare,Food - Vegetables,false,porttitor id,215,,,false
alcatel OT-E225,803389906-9,389,Bluejam,Baby,false,libero nam dui,191,system-worthy,,false
Spice M-4250,729946211-7,465,Tagpad,Food - Frozen Meals,true,morbi vestibulum,134,,Laptops and Desktops,true
Philips F515,869879299-5,358,Teklist,Food - Snacks,false,augue a suscipit nulla elit,105,paradigm,Laptops and Desktops,true
Nokia 3310 4G,197598125-1,55,,Food - Frozen Meals,true,aenean auctor gravida sem praesent,72,Progressive,Laptops and Desktops,false
Emporia Flip Basic,636164368-9,54,Kaymbo,Outdoor,true,rutrum rutrum neque,87,parallelism,Laptops and Desktops,false
Maxon MX-7750,799384604-8,155,Kimia,Food - Spices,true,libero,155,moratorium,Laptops and Desktops,false
BLU Vivo XL,801453013-6,335,Meeveo,Food - Frozen Foods,true,,186,User-friendly,Laptops and Desktops,false
Siemens AF51,350818293-2,5,Innotype,Food - Breakfast,true,bibendum felis sed interdum,163,model,Mobile Devices,true
Huawei P10 Plus,228711848-9,281,Topiczoom,Food - Household,true,,206,,Mobile Devices,false
LG GD910,746663256-4,170,Centidel,Food - Snacks,true,eu mi nulla,73,systemic,Mobile Devices,true
Sony Ericsson T270,792550148-0,174,Kwideo,Tools,true,eros,4,archive,Laptops and Desktops,true
LG K61,700870205-1,335,Jazzy,Food - Canned Goods,true,rhoncus dui vel sem sed,206,productivity,Mobile Devices,false
Palm Pre 2 CDMA,263966302-X,319,Dynabox,Food - Frozen Foods,true,dis parturient,153,forecast,Laptops and Desktops,false
Philips Savvy,560010928-8,399,,Pets,false,lacinia aenean sit amet,152,Versatile,Laptops and Desktops,false
Asus M530w,335530812-9,48,Fivechat,Food - Prepared Meals,false,,112,Front-line,Laptops and Desktops,true
Motorola A830,828454503-9,,Trudeo,Storage,true,nulla nisl nunc,155,analyzer,Laptops and Desktops,true
alcatel OT-988 Shockwave,784645938-4,31,Innotype,Food - Condiments,true,dis,185,Down-sized,Mobile Devices,false
HTC HD7S,152195599-9,419,Babbleopia,Clothing - Accessories,true,amet erat,59,framework,Mobile Devices,true
Huawei Mate 20 Pro,598966242-4,266,,Food - Frozen,false,adipiscing molestie hendrerit,160,neutral,Mobile Devices,false
Mitsubishi Trium Mondo,278976746-7,349,Pixonyx,Clothing - Bottoms,true,non,42,bottom-line,Mobile Devices,true
Samsung R210,314640748-5,113,,Food - Prepared Foods,true,lacinia,69,,Mobile Devices,true
Xiaomi Redmi 4 (China),788076546-8,397,Voomm,Food - Snacks,true,eu est congue elementum,150,open system,,false
Karbonn A3,632674868-2,257,Skyba,Food - Snacks,false,metus aenean,33,empowering,Mobile Devices,false
Oppo A32,962989627-3,474,Mita,Food - Frozen Foods,false,nunc vestibulum ante,108,,Mobile Devices,true
Yezz Classic C21,295836000-8,138,Skyvu,Home Appliances,true,sed magna at,53,modular,Mobile Devices,false
Yezz Andy 3.5EH,753259724-5,292,,Home,false,eget orci vehicula condimentum curabitur,167,function,Mobile Devices,false
Lava X46,339060861-3,107,Tekfly,Pets,true,,97,pricing structure,Laptops and Desktops,true
Philips W8510,789632778-3,158,Fivebridge,Food - Cooking Oils,false,parturient,210,actuating,Mobile Devices,true
O2 XDA phone,473621959-9,350,Geba,Food - Condiments,false,semper est,177,,Laptops and Desktops,true
Xiaomi Mi A2 (Mi 6X),039265392-3,37,Camido,Food - Frozen Foods,true,risus semper porta volutpat,159,intermediate,Laptops and Desktops,true
Sony Xperia SX SO-05D,270212125-X,310,Chatterpoint,Food - Snacks,true,vitae quam suspendisse potenti nullam,204,Automated,Laptops and Desktops,false
Huawei Ascend Y100,629374822-0,379,Skipfire,Outdoor,true,mi nulla ac,,Business-focused,Laptops and Desktops,false
Sony Ericsson K330,827986158-0,19,Yambee,Kitchen,false,,,systematic,Laptops and Desktops,true
alcatel OT-103,239869009-1,276,Browsecat,Food - Prepared Foods,true,lorem ipsum dolor sit amet,53,collaboration,Mobile Devices,false
Xiaomi Redmi Note 7,754511027-7,178,Cogibox,Fitness,true,pede morbi,127,Visionary,Mobile Devices,true
Ulefone Note 8,943387602-4,459,Gigashots,Outdoor,true,sapien cursus vestibulum proin eu,212,Public-key,Laptops and Desktops,false
Panasonic T40,646114414-5,299,Jabbertype,Home Appliances,false,proin leo odio porttitor,184,,Laptops and Desktops,false
Philips X620,139795259-8,384,Zoovu,Kitchen,false,,142,Diverse,Mobile Devices,false
alcatel OT-506,829168528-2,244,,Fitness,true,tempor,179,,Mobile Devices,false
Motorola A1800,592996613-3,424,Oyoloo,Clothing - Shirts,false,,116,Future-proofed,Laptops and Desktops,true
Amoi F99b,011660349-6,319,Wordware,Food - Frozen Meals,true,ut mauris eget massa,49,secondary,Mobile Devices,true
Sharp Aquos S3 mini,925602211-7,257,Skinix,Food - Condiments,true,at lorem,83,,Laptops and Desktops,true
Samsung Galaxy S8+,201821614-7,96,Buzzshare,Food - Prepared Meals,true,id,138,matrices,Laptops and Desktops,false
Micromax In note 1,420630567-6,73,Kazio,Food - Grains,false,,36,Networked,Mobile Devices,false
Sharp 903,623441777-9,126,Rhyzio,Clothing - Activewear,false,elit proin risus praesent,166,function,Mobile Devices,false
Nokia 6260 slide,626803626-3,,Fliptune,Food - Prepared Foods,false,morbi ut odio cras,34,website,Mobile Devices,false
HTC Desire 625,909310901-4,66,Cogilith,Garden,true,vel pede,103,,Laptops and Desktops,false
Sony CMD CD5,650130015-0,379,Abatz,Outdoor,true,magnis,215,leverage,Mobile Devices,false
Motorola A760,545731918-0,145,Avamba,Food - Frozen Desserts,true,ultrices,25,encompassing,Mobile Devices,true
Motorola XOOM MZ601,485596696-7,34,Youspan,Beauty,false,orci vehicula condimentum curabitur in,223,forecast,Laptops and Desktops,false
QMobile Noir X350,756820583-5,478,Zoomcast,Outdoor,true,,,strategy,Laptops and Desktops,false
Pantech GF500,080224409-2,,Yadel,Home,false,ante ipsum primis in,129,Self-enabling,Mobile Devices,true
Micromax A093 Canvas Fire,272738840-3,169,Twimbo,Automotive,true,in,199,Face to face,Mobile Devices,false
BQ Aquaris V Plus,222994021-X,337,Topicware,Fitness,false,ultrices aliquet,217,Up-sized,Laptops and Desktops,false
Motorola V1050,030849065-7,13,Tagchat,Food - Snacks,false,justo sit amet sapien,129,support,,false
Samsung i740,342217504-0,,Dynabox,Kitchen,true,dis parturient montes nascetur,181,Monitored,Mobile Devices,true
LG L65 D280,200997970-2,25,Devpulse,Fitness,true,montes,33,client-driven,Mobile Devices,false
Micromax X233,655773743-0,55,Roombo,Electronics,true,primis in faucibus orci,44,methodology,Mobile Devices,true
Intex Aqua 4.5E,238908290-4,472,Chatterbridge,Kitchen,true,quam,226,structure,Mobile Devices,false
Oppo Find X,518377531-1,190,Dazzlesphere,Clothing - Activewear,false,eu,,installation,Mobile Devices,false
OnePlus X,664112923-3,,Viva,Food - Prepared Foods,true,in,87,pricing structure,Mobile Devices,true
Nokia 2680 slide,021740288-7,60,Tagcat,Home,true,imperdiet nullam,8,Down-sized,,true
QMobile W1,679295080-7,213,Leenti,Food - Bakery,false,odio justo sollicitudin ut suscipit,25,Cloned,Mobile Devices,false
ZTE V9+,442733005-3,383,Mydo,Food - Condiments,false,aenean fermentum,129,Object-based,Mobile Devices,true
ZTE V9,395174394-8,,Blogtag,Food - Snacks,false,massa volutpat,,solution,Mobile Devices,false
Samsung Galaxy A02s,158929009-7,318,Skivee,Food - Breakfast,false,scelerisque,93,Decentralized,Laptops and Desktops,true
Samsung S8600 Wave 3,800881916-2,462,Thoughtbeat,Outdoor,true,eget tempus vel,50,Integrated,Laptops and Desktops,false
Samsung B7320 OmniaPRO,001179786-X,260,Tazzy,Food - Condiments,false,quis justo maecenas,216,neural-net,Laptops and Desktops,true
BLU Life One XL,591500623-X,2,Babbleblab,Clothing - Accessories,true,quis justo maecenas,166,hierarchy,Mobile Devices,true
BLU Studio 5.5 HD,857290085-3,216,Jabbertype,Food - Canned Goods,true,id turpis integer aliquet massa,111,,Laptops and Desktops,false
LG A290,287245051-3,,Jaxnation,Food - Breakfast,false,at nunc commodo,139,Quality-focused,Laptops and Desktops,false
Samsung U450 Intensity,016028696-4,383,Babbleset,Kitchen,false,,105,strategy,Mobile Devices,true
Plum Ram Plus,330414542-7,,Thoughtmix,Home,true,odio,181,Mandatory,Laptops and Desktops,false
ZTE R220,967539508-7,211,Jaxbean,Toys,true,ante ipsum primis,117,secured line,,true
Celkon A98,531687870-1,446,Yadel,Food - Dairy,false,adipiscing elit proin,,,Laptops and Desktops,true
Yezz Max 1 Plus,413857665-7,199,Kazu,Food - Snacks,true,tortor risus dapibus augue vel,180,zero administration,Laptops and Desktops,true
Nokia X6 16GB (2010),914066981-5,457,Twitterworks,Clothing - Footwear,false,vel,186,challenge,Laptops and Desktops,true
LG KP199,910108732-0,307,Skajo,Clothing - Footwear,true,nisi venenatis,181,policy,Mobile Devices,true
alcatel OT-E205,557657442-7,179,Skyndu,Food - Frozen Vegetables,true,et ultrices posuere,,Progressive,Laptops and Desktops,false
Prestigio MultiPad 8.0 HD,011352409-9,94,Thoughtbridge,Pets,true,convallis duis consequat dui,98,,Mobile Devices,false
Sony CMD C1,660164063-8,368,Eadel,Outdoor,true,,180,explicit,Laptops and Desktops,false
Samsung Gravity SMART,411454862-9,98,,Pets,true,dui proin leo,,Multi-layered,,false
Philips W920,474492759-9,475,Ntag,Food - Sauces,false,quam sollicitudin vitae consectetuer eget,168,cohesive,Mobile Devices,false
Icemobile Charm,817010606-0,312,Buzzster,Accessories,false,urna ut,39,interactive,Mobile Devices,false
Lenovo K12,312416061-4,111,Oyoloo,Fitness,false,,171,Sharable,,true
Motorola Moto G Dual SIM (2nd gen),144047326-9,161,Quimba,Food - Snacks,true,,174,,Mobile Devices,true
BenQ-Siemens E61,016644415-4,444,Photofeed,Beauty,false,quam suspendisse potenti nullam,9,standardization,Laptops and Desktops,true
Lava Iris Atom X,290609672-5,73,Fadeo,Fitness,true,maecenas tincidunt lacus at velit,193,Integrated,Mobile Devices,false
Realme 6 Pro,621996650-3,445,Avamba,Food - Breakfast,true,curae duis faucibus,157,tertiary,Mobile Devices,false
alcatel OT-800 One Touch CHROME,102849278-2,179,Topicblab,Sports,false,sapien arcu,15,ability,Mobile Devices,true
Sony Ericsson W600,459735281-3,226,Vipe,Food - Frozen Food,true,duis faucibus accumsan odio curabitur,,core,Laptops and Desktops,true
Nokia 3710 fold,692404494-8,442,Divanoodle,Food - Condiments,false,tempor convallis nulla,155,architecture,Laptops and Desktops,false
Sendo K1,515921319-8,39,Skimia,Food - Dairy Alternatives,true,id,27,Synergized,Mobile Devices,false
Plum Axe,011422655-5,38,Yakidoo,Grooming,false,vel pede morbi,115,portal,Mobile Devices,false
LG GD910,400420057-1,336,Babbleset,Food - Frozen Foods,false,purus eu,,impactful,Mobile Devices,false
Xiaomi Mi 4 LTE,897441038-9,113,Twitterwire,Kitchen,true,rutrum nulla nunc purus,99,Organized,Laptops and Desktops,true
Dell Venue 10 7000,569813382-4,315,Babbleset,Food - Breakfast,true,,26,artificial intelligence,Laptops and Desktops,false
Motorola V180,250603283-5,262,Oyoyo,Office,true,ipsum primis in faucibus,131,,Mobile Devices,true
Maxwest Astro 4,240580802-1,,Wordify,Food - Meat,false,faucibus accumsan odio curabitur convallis,78,systematic,Mobile Devices,true
Microsoft Lumia 850,382783939-4,457,Fatz,Kitchen,false,turpis a,147,,Laptops and Desktops,false
Samsung Galaxy J1 Nxt,060091308-2,19,Tazzy,Pets,true,turpis adipiscing,19,moratorium,Laptops and Desktops,true
Huawei T552,782378898-5,,Gabspot,Outdoor,false,justo morbi,139,artificial intelligence,Mobile Devices,true
Icemobile Prime,233995218-2,98,Gabspot,Bicycles,false,iaculis congue,,,Mobile Devices,false
Oppo R817 Real,756864297-6,364,Devbug,Health,false,et commodo vulputate,42,radical,Mobile Devices,false
Philips Xenium X530,510105799-1,,,Food - Meat,false,,174,,Mobile Devices,false
Amoi H815,791783802-1,127,Zoomcast,Travel,true,nec,74,Exclusive,Mobile Devices,false
Samsung Galaxy S10+,411000812-3,344,,Food,false,sit amet,181,Cloned,Mobile Devices,true
ZTE Axon mini,228021107-6,187,Jabbercube,Toys,true,felis sed,127,architecture,Laptops and Desktops,true
Wiko Selfy 4G,499254185-2,27,Zoombeat,Outdoor,false,condimentum neque sapien placerat,158,,,false
Huawei Y3II,894882625-5,24,Edgetag,Kitchen,false,dis parturient montes nascetur,102,background,Laptops and Desktops,true
HTC U Ultra,613878407-3,467,Photolist,Home,false,nascetur ridiculus mus vivamus vestibulum,215,3rd generation,Mobile Devices,true
Samsung Galaxy 551,973263551-7,140,Dabshots,Food - Snacks,true,ipsum primis,211,website,Laptops and Desktops,true
Qtek S100,731826945-3,,Thoughtmix,Food - Snacks,false,morbi a ipsum integer a,34,framework,Laptops and Desktops,true
Oppo A92,116543759-7,5,Demizz,Fitness,false,montes nascetur,144,next generation,Laptops and Desktops,false
Nokia C1 Plus,362777735-2,403,Fanoodle,Art Supplies,false,sit,226,Vision-oriented,Mobile Devices,true
NIU LIV 10,142225211-6,57,Realblab,Food - Frozen Foods,true,,126,global,Mobile Devices,false
NIU GO 80,746269821-8,181,Demizz,Food - Snacks,false,duis ac nibh fusce lacus,230,Universal,Laptops and Desktops,false
Motorola SLVR L9,014480289-9,413,Wikivu,Home,true,massa id nisl venenatis lacinia,22,strategy,Mobile Devices,false
alcatel OT-888,686404575-7,,Photofeed,Photography,false,lacinia erat,37,non-volatile,,true
Oppo A3s,030181372-8,285,Tambee,Fitness,true,pede posuere nonummy,,6th generation,Mobile Devices,true
Philips Xenium 9@9r,708957469-5,257,Trunyx,Food - Vegetables,false,sollicitudin,186,interactive,Laptops and Desktops,false
Philips Xenium X519,440665958-7,173,Roodel,Kitchen,false,nulla,168,uniform,Laptops and Desktops,false
Spice Stellar 439 (Mi-439),045418912-5,246,Riffpath,Fitness,true,felis sed,6,dedicated,,false
verykool s5014 Atlas,041883085-1,445,Bluezoom,Smart Home,false,nibh ligula nec sem duis,221,contextually-based,Laptops and Desktops,false
Nokia N81,834277984-X,344,Jaxworks,Food - Condiments,true,eu sapien,102,Grass-roots,Mobile Devices,true
Sony Tablet P,021490297-8,196,Zooveo,Food - Frozen Foods,true,sit amet consectetuer adipiscing,192,synergy,Laptops and Desktops,true
Nokia 106,562966277-5,8,Quatz,Beauty,true,,42,leading edge,Mobile Devices,false
Posh Icon S510,938592530-X,58,Innojam,Food - Breakfast,false,ut odio,,encryption,Mobile Devices,false
Samsung i900 Omnia,138960793-3,417,Miboo,Automotive,false,aenean auctor gravida,29,4th generation,Mobile Devices,false
Eten M500,999783931-5,491,,Food - Bakery,true,nec dui luctus,140,Organized,Mobile Devices,true
Samsung E215,077396188-7,,Mymm,Food - Frozen Desserts,true,posuere cubilia,157,Reduced,Mobile Devices,false
Spice M-5180,070485581-X,329,Skyble,Fitness,true,ac tellus,34,,Laptops and Desktops,false
alcatel OT-209,050520620-X,395,Yadel,Home,false,ligula nec sem duis aliquam,116,Pre-emptive,Mobile Devices,true
Asus Transformer Pad Infinity 700 3G,211142226-6,174,Devpoint,Clothing - Bottoms,false,,39,database,Laptops and Desktops,true
Motorola MPx220,635273560-6,496,,Food - Snacks,false,donec posuere metus vitae,154,dedicated,Laptops and Desktops,true
Apple iPad Wi-Fi + 3G,728773186-X,494,Riffpath,Office,false,bibendum imperdiet nullam,18,,Mobile Devices,false
Honor 10,146450400-8,,Mita,Food - Snacks,false,id pretium iaculis,170,non-volatile,Laptops and Desktops,true
Motorola Moto E3 Power,757903420-4,327,Teklist,Food - Dairy,true,,58,implementation,,false
BLU Touch Book 7.0 Lite,583761475-3,216,Snaptags,Food - Oils & Vinegars,true,lorem quisque,49,Distributed,Laptops and Desktops,true
Vodafone 810,380949654-5,286,Shuffletag,Outdoor,true,,56,orchestration,Mobile Devices,false
NIU Niutek 4.5D,992215123-5,466,,Food - Seafood,true,,94,info-mediaries,,true
BlackBerry Playbook Wimax,923514310-1,44,Oodoo,Food - Prepared Meals,false,tincidunt,191,initiative,Laptops and Desktops,false
O2 XDA mini S,152071343-6,90,Meezzy,Electronics,false,est et tempus,142,adapter,,false
vivo Y65,788781981-4,206,Jaxspan,Toys,false,neque libero convallis eget,221,implementation,Mobile Devices,true
LG KU580,322634943-0,,Eazzy,Fitness,false,vel,109,coherent,Laptops and Desktops,false
Bird S570,226367517-5,5,Flipstorm,Food - Beverages,false,amet sem fusce consequat nulla,224,,Mobile Devices,true
vivo V7+,475920214-5,1,Ooba,Outdoor,true,dolor,2,systemic,Mobile Devices,false
Sony Ericsson W705,244917405-2,,Skiba,Pets,false,in tempus sit,221,open architecture,Mobile Devices,false
BLU View Mega,726991392-7,321,Quatz,Food - Bakery,false,posuere cubilia curae duis faucibus,124,Advanced,Mobile Devices,true
Samsung SGH-2400,131757596-2,286,Gigazoom,Fitness,false,felis fusce posuere felis sed,167,moratorium,Mobile Devices,false
vivo iQOO Z1x,387172710-5,,Browsezoom,Outdoor,true,porttitor lacus at turpis,116,open architecture,Laptops and Desktops,false
BLU Vivo XI,303075684-X,119,Jetpulse,Food - Frozen Foods,false,ultrices erat tortor,170,monitoring,Mobile Devices,true
alcatel 1x,260939762-3,36,,Food - Grains,true,lacinia,197,complexity,Mobile Devices,false
Samsung Galaxy A9 Pro (2016),898521341-5,353,Wikibox,Food - Baking,false,quis orci eget orci vehicula,94,hardware,Laptops and Desktops,false
Jolla Tablet,921544436-X,435,Photobean,Outdoor,false,penatibus et magnis dis parturient,,maximized,Laptops and Desktops,false
LG G4,138303114-2,19,Tagpad,Photography,false,congue etiam justo,126,Fully-configurable,,false
Palm Treo 180,509415918-6,244,Dabjam,Food - Snacks,true,porttitor pede,40,Realigned,Laptops and Desktops,true
Samsung C3520,701003888-0,374,Roodel,Food - Condiments,true,vestibulum ac est lacinia nisi,161,local area network,Laptops and Desktops,true
LG GS190,834585158-4,446,Meembee,Food - Frozen Meals,false,in,5,real-time,Mobile Devices,true
Honor 20i,595222660-4,253,Skipstorm,Fitness,false,dignissim vestibulum,219,standardization,Laptops and Desktops,false
Samsung Galaxy S7 edge,556691657-0,257,Photobug,Food - Prepared Foods,false,sapien varius ut blandit non,64,throughput,,true
Telit G83,421866686-5,263,Devbug,Food - Soups,true,convallis eget eleifend luctus,170,Decentralized,,true
Philips V808,901488333-1,63,Realbuzz,Food - Jams & Jellies,false,turpis adipiscing lorem vitae mattis,38,,Mobile Devices,false
Samsung M930 Transform Ultra,128461081-0,,,Food - Snacks,true,mattis nibh ligula nec sem,144,,,true
