Name,Category,Location,Supplier,Company,Quantity,Minimum Quantity,Model Number,Item Number,Notes,Manufacturer,Purchase Date,Purchase Cost,Order Number
Portable Jump Starter,Automotive,Villa Atamisqui,Demimbu,Dabtype,12,35,019399681-2,756379741-6,Compact jump starter for emergency vehicle starts.,Muxo,2026-02-04,60.66,073921132
Pecan Nuts,Food - Snacks,Guoxiang,Ozu,Yoveo,66,76,026220662-5,,"Nutty, crunchy pecans great for baking.",Zazio,2025-05-04,23.4,
Maple Pecan Granola,Food - Breakfast,Tarkwa,Kimia,Tagtune,18,76,,031084856-3,"Crunchy granola with maple syrup and pecans, great for breakfast or snacking.",Ntags,2025-06-03,21.39,113118342
Frozen Mixed Berries,Food - Frozen Foods,Monte Francisco,Realcube,Vinte,22,52,913923763-X,928696986-4,,Jabbertype,2025-10-23,76.59,122105922
Self-Cleaning Water Bottle,Fitness,Paola,Mydeo,Browsezoom,34,95,711536949-6,216178360-2,Water bottle with built-in UV-C light for self-cleaning.,LiveZ,2025-10-05,62.69,071111986
Ground Turkey,Food - Meat,Zakroczym,Buzzdog,Layo,39,31,,898854070-0,"Lean and versatile ground turkey, perfect for various dishes.",Jaloo,2026-02-16,81.24,091403616
Canned Coconut Milk,Food - Canned Goods,København,Twitterbridge,Youtags,19,3,443049666-8,596131285-2,"Rich coconut milk, great for cooking and baking.",Abatz,2025-06-10,40.81,102103287
Adjustable Window Blind,Home,Annapolis,Oyoyo,,3,84,203321691-8,586431684-9,Customizable window cover for light control and privacy.,Meezzy,2025-12-03,44.89,
Fitness Activity Journal,Fitness,,Kwilith,Feedfish,60,52,900129152-X,086785544-4,Journal to record workouts and nutrition.,Linktype,2025-05-29,68.95,075000019
Personalized Keychain,Accessories,Weizhou,Tavu,Tekfly,70,41,330844121-7,556457386-2,Custom keychain with engraved text.,,2025-06-11,71.79,011401135
Garlic Butter Sauce,Food - Condiments,Wang Noi,Leexo,Chatterpoint,81,37,756263465-3,927887245-8,A rich sauce perfect for pasta or drizzling over vegetables.,Gabvine,2025-09-27,21.95,081921551
Portable Electric Fan,Home,Las Palomas,,Mita,14,71,384509168-1,900797757-1,,Jazzy,2025-02-26,42.81,081211135
Honey Glazed Carrots,Food - Produce,N’dalatando,Voonyx,Vinder,21,12,653051663-8,685161557-6,"Sweet and savory carrots glazed in honey, perfect as a side dish.",Jaloo,2025-07-06,19.97,107089652
Protein Bar Variety Pack,Food - Snacks,Bétérou,Quaxo,Avamba,61,16,321332182-6,714668953-0,A pack of assorted nut and protein bars for a quick energy boost.,Topicware,,,053174103
Pumpkin Puree,Food - Canned Goods,Sapele,Einti,Fliptune,12,66,357942287-1,536385458-9,,Dynazzy,2025-01-13,21.07,051000017
Vegan Caesar Dressing,Food - Condiments,El Charco,Dabjam,Aibox,41,67,788864147-4,,"Creamy vegan dressing made with cashews, perfect for salads.",Skivee,2025-06-14,67.41,073904188
Yoga Mat Carrier,Fitness,Paurito,Skipstorm,Rhycero,81,71,507590893-4,140823013-5,Convenient carrier for transporting yoga mat.,Babbleblab,2026-01-04,60.19,262285184
Lightweight Rain Jacket,Clothing - Outerwear,Petaling Jaya,Zoomcast,Fivechat,24,50,589420340-6,440165599-0,"Water-resistant jacket ideal for outdoor activities, featuring a packable design.",Bluezoom,2025-01-17,72.16,263190812
Dark Chocolate Bars,Food - Snacks,Santa Fe,Jabberstorm,Yambee,84,50,073011386-8,383768455-5,"Rich dark chocolate bars, perfect for a sweet treat.",Quire,2025-03-01,92.89,
Gardening Gloves with Claws,Garden,Baitang,LiveZ,Zooveo,49,53,709479125-9,268290772-5,Durable gloves with built-in claws for digging and planting.,Gigaclub,2025-04-14,8.91,122105760
Compact Folding Table,Outdoor,Shiraz,Zoomzone,Fanoodle,19,7,635167059-4,904985503-2,Versatile folding table great for events or outdoor activities.,Tazzy,2026-01-21,1.35,074912603
Vegetable and Cheese Quesadillas,Food - Frozen,Minien East,Dablist,Shuffletag,43,36,595430535-8,,Flour tortilla filled with cheese and a medley of vegetables.,Zoomdog,2025-11-16,78.0,051503174
Portable Camping Shower,Outdoor,Boulsa,Vipe,Ozu,13,93,,994992991-1,Convenient shower system for camping and outdoor activities.,Edgeify,2025-12-19,64.57,091902531
Italian Herbal Seasoning,Food - Spices,,Fliptune,Bubblemix,84,51,014118687-9,547728432-3,A fragrant blend of Italian herbs for pasta sauces and marinades.,Edgetag,2025-04-07,,101000035
Tennis Racket,Fitness,,,Oozz,6,83,716724088-5,133098948-1,,Zoonoodle,2025-08-15,87.1,101200440
Beard Grooming Kit,Grooming,Dengzhuang,,Edgeify,99,32,739790674-5,247450052-9,Everything you need for maintaining a healthy beard.,Photobean,2025-01-17,93.11,
Sushi Roll Kit,Food - Cooking Kits,,Fliptune,Tagpad,17,16,976069803-X,442578347-6,All ingredients needed to make your own sushi,Gigaclub,2025-04-14,48.15,311093120
Fried Rice,Food - Frozen Foods,Jingyu,Ooba,Skidoo,41,86,270393760-1,448099824-1,"Pre-cooked vegetable fried rice, just heat and serve.",Quinu,2025-08-13,32.59,325182946
Vegetarian Chili,Food - Canned Goods,Detroit,,Janyx,66,62,200162445-X,552285325-5,"Hearty chili made with beans and vegetables, a savory meal option.",Rhynyx,2026-01-02,55.89,091308481
Creative Puzzle Game,Toys,Pingxi,Shuffledrive,,2,73,986118465-1,251791218-1,Challenging and fun puzzle game for all ages.,Twimbo,2025-04-27,56.99,104112409
Smartphone Tripod,Photography,Dapitan,,Innotype,30,80,026380012-1,,Adjustable tripod for smartphones and cameras.,Trilith,2025-02-28,91.29,
Electric Nail File Kit,Beauty,General Arenales,Lazzy,Eare,86,87,199070804-8,097297423-7,Professional-grade nail care set for manicures and pedicures.,Buzzdog,2025-06-01,88.82,052100725
Beard Grooming Kit,Grooming,Morcellemont Saint André,,Skaboo,45,69,322825758-4,689314422-9,Everything you need for maintaining a healthy beard.,Meeveo,2024-12-29,,322270262
Garlic and Herb Rub,Food - Spices,Lishu,Thoughtstorm,,49,21,708031829-7,,,,,14.99,061102549
Sesame Garlic Noodles,Food - Pasta,Épinal,,,40,74,341189202-1,264935522-0,Delicious noodles tossed in a sesamegarlic sauce.,Riffwire,2026-01-07,15.19,
Almond Coconut Granola,Food - Breakfast Foods,Suure-Jaani,Pixonyx,Bluezoom,87,76,144427049-4,,Crunchy granola with almonds and coconut.,Twimbo,,75.82,102001017
Sports Windbreaker,Clothing - Outerwear,Napoli,Divape,,85,74,,296613186-1,Lightweight windbreaker for outdoor activities.,Kazu,2025-04-09,96.68,053112738
Honey Sesame Chicken Mix,Food - Frozen Meals,Göteborg,Twinte,Skyble,84,40,,594046580-3,A meal kit featuring tender chicken with honey sesame sauce.,,2025-12-06,35.15,
Vegan Chocolate Cake Mix,Food - Baking,Zhaodong,,Thoughtbeat,49,95,859424517-3,942964911-6,Plant-based mix for a rich chocolate cake.,Thoughtbridge,,77.01,091301750
Organic Coconut Yogurt,Food - Dairy,Abraham’s Bay,,Jabbersphere,93,90,667853657-6,291264784-3,Dairy-free yogurt made from coconut milk.,Vimbo,2025-02-03,4.41,055001698
Multi-Functional Rice Cooker,Kitchen,Cabo de Vila,Wikibox,Vinte,43,51,603927778-5,949703592-6,Electric rice cooker with multiple cooking settings for perfect rice.,Jaxworks,2026-02-16,55.91,226070555
Stainless Steel Cutlery Set,Kitchen,Merton,Leexo,Babblestorm,70,63,500101198-1,764743967-7,High-quality cutlery set for daily use or special occasions.,Photolist,2025-03-30,31.82,292970841
Honey Garlic Shrimp,Food - Seafood,Wanmu,Demizz,Realmix,28,92,934627051-9,995083389-2,"Shrimp marinated in a honey garlic sauce, ready to cook.",Babbleset,2025-09-29,21.63,072402076
Portable Dog Water Bottle,Pets,Krasnoarmeysk,Plajo,Tazz,73,5,365913246-2,108463688-3,Convenient water bottle for pets on the go.,Eare,2025-06-23,73.15,062102849
Portable Grill Cover,Outdoor,Nkove,Blogspan,Skyndu,88,8,937253686-5,384442282-X,Durable cover to protect your grill from the elements.,Oyondu,2025-05-24,6.23,107002406
Barbecue Chicken Pizza,Food - Frozen Foods,Gislaved,Blogspan,Zoonder,70,87,877804472-3,792827822-7,"Pizza topped with barbecue chicken, cheese, and red onions.",Skajo,,68.25,053112152
Video Camera,Electronics,Al Fujayrah,Quatz,Blogspan,5,44,901192901-2,911068143-4,1080p HD video camera with night vision.,Skiptube,2026-01-02,35.94,241070433
Wireless HDMI Receiver,Electronics,Lisala,Dabshots,Eire,47,95,684920224-3,194705014-1,Stream HD video wirelessly from devices to TV.,Riffpedia,,5.4,
Stainless Steel Straws,Kitchen,Baroh,Avamm,Blogpad,70,24,140823196-4,073721728-6,Set of reusable stainless steel straws for drinks.,Topicware,2025-12-10,19.45,075901998
Spice Rack,Kitchen,,Photobug,Realcube,47,65,602032094-4,001226386-9,Rotating spice rack with 20 spice jars.,Buzzbean,2025-09-20,20.15,271173452
Cranberry Pecan Granola,Food - Breakfast Foods,Mae Sai,Edgepulse,Rooxo,46,11,101520802-9,,Crunchy granola with cranberries and pecans.,,2025-12-06,72.47,114912275
Woven Storage Baskets,Home,El Nido,Demimbu,Flashset,89,38,254899982-3,723204544-1,,,2025-05-31,64.54,
Magnetic Curtain Tiebacks,Home,Chadi,Mydo,Meembee,80,57,004127225-0,918384372-8,Easy-to-use tiebacks for curtains or drapes.,Thoughtbeat,2025-11-18,18.76,314973593
Frozen Berry Blend,Food - Frozen Foods,,Livetube,Thoughtsphere,6,17,680438147-5,794020514-5,,Skyble,2025-08-20,92.51,071002095
Dark Chocolate Tart,Food - Desserts,Madoi,Tagopia,LiveZ,57,11,041149975-0,303699390-8,Decadent tart made with rich dark chocolate.,Zoozzy,2025-05-05,3.79,053208037
Premium Flashlight,Outdoor,Ansermanuevo,Myworks,Lajo,67,64,012889479-2,331734074-6,High-intensity flashlight with adjustable focus and brightness.,Twinder,2025-03-10,10.32,011301536
Teriyaki Beef Jerky,Food - Snacks,Kuteynykove,Yombu,Skiptube,20,50,051408143-0,942120134-5,Savory and chewy beef jerky with teriyaki flavor.,,2025-07-09,97.39,
LED Flashlight,Outdoor,,Dynava,Quimba,34,33,015426844-5,813484300-X,Bright LED flashlight with adjustable beam.,Jayo,2025-08-29,48.87,113109720
Terry Cloth Robe,Clothing - Loungewear,,Aivee,Skivee,75,91,835751126-0,283561309-9,"Soft and comfortable robe, perfect for lounging at home.",Skivee,2025-10-08,79.43,031100225
Outdoor Picnic Blanket,Outdoor,Qianzhou,Demizz,Bluezoom,88,73,807419782-4,,Water-resistant blanket for picnics and outdoor events.,Bluezoom,2025-12-02,15.12,111103634
Watercolor Paint Set,Art Supplies,Santo Antônio de Pádua,Meezzy,,70,4,728915312-X,978626123-2,,Voonyx,2026-01-12,41.72,122239814
Frozen Acai Purée,Food - Frozen,Haitang,Dynabox,Trilia,1,9,393518006-3,751373161-6,Unsweetened frozen acai purée for smoothies and bowls.,Voolia,2025-07-02,52.08,041215537
Savory Oatmeal Cups,Food - Breakfast,Iligan City,Buzzbean,Voonder,74,9,991732218-3,943530671-3,"Savory oatmeal ready to eat, great for breakfast or a snack.",Tagopia,2025-03-26,10.25,051404118
Blueberry Muffin Mix,Food - Baking,Wangdian,Zoozzy,Gigazoom,37,5,668049780-9,871351644-2,Make delightful blueberry muffins at home with this easy mix.,Edgewire,2025-07-22,42.89,036076150
LED Camping Lantern with USB Charging,Outdoor,Rimpeso,Feedfish,,46,39,427521289-4,669617170-3,Rechargeable lantern with multiple brightness settings for outdoors.,Realcube,2025-08-04,39.43,055003340
Beef Taco Skillet,Food - Meal Kits,Krajan Atas Suger Lor,Divape,Vinder,27,15,808853771-1,657428047-8,A convenient meal kit for making a delicious beef taco skillet at home.,Realbridge,2025-02-09,39.92,
Almond Joy Bars,Food - Confectionery,Ea T’ling,,,51,35,190761047-2,478216691-5,Chocolate-covered candy bars with coconut and almonds.,Zazio,2026-02-13,92.81,053111836
Ricotta Cheese,Food - Dairy,Changsha,Rhyloo,,29,48,227202451-3,830584146-4,"Creamy ricotta cheese, great for cooking or making desserts.",Realbuzz,2026-01-06,,255070351
Spicy Kimchi,Food - Condiments,Puerto Madryn,Meezzy,Quinu,88,6,,670935502-0,"Traditional Korean fermented vegetables, packed with flavor.",,2025-12-22,68.87,
Garden Hose,Garden,Krajan,Dabtype,,16,20,794701431-0,297093395-0,Durable 50-foot garden hose with nozzle.,Zoozzy,2025-01-14,,111993776
Lightweight Travel Backpack,Travel,Raşad,Wordtune,,54,45,511367825-2,258556163-1,Compact and portable backpack for day trips and travel.,Browseblab,2025-04-04,70.78,104910342
Deep Tissue Massage Gun,Health,Santo Tomé,,Photobean,63,45,849443657-0,472649887-8,Rechargeable massage gun for relieving muscle soreness.,,2025-05-09,25.26,075902722
Oven-Baked Potato Chips,Food - Snacks,Santo Niño,Trudeo,Topiczoom,65,61,306130532-7,543026385-0,Light and crispy baked potato chips in assorted flavors.,Twiyo,2025-10-28,64.7,211371191
Almond Flour Tortillas,Food - Baking & Cooking,Yangping,Photobug,Chatterpoint,57,96,,441479278-9,"Gluten-free tortillas made from almond flour, perfect for various wraps and meals.",Twimbo,2025-07-03,83.96,081509070
Cheddar & Bacon Potato Skins,Food - Frozen,Obo,Zoombox,Zoomlounge,97,72,276872599-4,241695501-2,Gourmet potato skins loaded with cheddar cheese and bacon.,Tazzy,2025-06-05,72.12,321170282
Hibiscus Herbal Tea,Food - Beverages,Qindu,Gabtype,Plambee,64,44,372773205-9,191400729-8,"Floral and refreshing herbal tea, great hot or iced.",Livetube,2025-12-26,78.49,055001876
Portable Hammock with Stand,Outdoor,Jagodnjak,Rhycero,Gabcube,72,28,483822129-0,982674955-9,Lightweight hammock with a sturdy stand for relaxation anywhere.,Avamba,2025-02-02,19.74,061000078
Pet Hair Vacuum Cleaner Attachment,Pets,Beberibe,Skajo,Thoughtmix,99,50,,875433339-3,,Riffpath,2025-12-03,35.32,043310281
Essential Oil Diffuser,Health,Tame,Quaxo,Babblestorm,16,4,426850995-X,205104698-0,Ultrasonic diffuser that helps create a calming atmosphere.,Minyx,2025-08-27,,026007906
Coconut Almond Granola,Food - Breakfast,Calasgasan,Kare,Camimbo,92,35,507972992-9,384260778-4,"Crunchy granola made with oats, almonds, and coconut flakes.",Feednation,2026-01-11,51.5,081503102
Portable USB-C Monitor,Electronics,Ḩadādah,Riffwire,Youbridge,85,51,,542582113-1,Lightweight and slim monitor ideal for dual-screen setups.,Dablist,2025-02-11,23.4,071001588
Non-Stick Baking Sheets,Kitchen,Zamora,Avamm,Photojam,4,98,381601718-5,723056623-1,Set of baking sheets for effortless baking.,Browsedrive,2025-06-28,31.43,081518634
Maple Almond Granola,Food - Breakfast,Ciganaria,Skinix,Trudeo,65,11,129401685-7,481847250-6,Crunchy granola with maple flavor and almond pieces for breakfast.,Realpoint,2025-09-10,26.5,322275487
Thai Basil Fried Rice,Food - Frozen,,Eadel,Dablist,53,60,190724729-7,989465823-7,Fragrant fried rice with authentic Thai basil and veggies.,Wordify,,54.52,092901191
Cherry Almond Protein Bar,Food - Snacks,,Twiyo,Skiptube,83,76,,973291368-1,"Nutritious protein bar with cherry and almond flavor, great for on-the-go.",Agimba,,43.3,065403150
Outdoor Adventure Backpack,Outdoor,Bairro dos Marinheiros,,Talane,42,74,919172864-9,436669889-7,Durable backpack for hiking or travel.,Twiyo,2025-12-07,45.52,091406121
Pepper Jack Cheese Sticks,Food - Snacks,Pagsanahan Norte,Tagcat,,51,6,532466226-7,629558574-4,"A spicy, flavorful cheese stick great for snacks or lunchboxes.",Topiczoom,2025-01-20,82.55,221272442
Sushi Roll Kit,Food - Cooking Kits,Pasiripis,Aibox,Minyx,76,58,457509817-5,152548188-6,All ingredients needed to make your own sushi,Skimia,2025-08-12,70.73,104112849
Smartphone Photography Tripod,Electronics,Pokrovskoye,Trilith,,88,91,213918145-X,654721206-8,Lightweight tripod designed for smartphone photography.,Eazzy,2025-11-23,81.16,011402024
Noise-Canceling Headphones,Audio,Port Loko,Zoombeat,Tazz,50,59,,737574241-3,High-quality headphones that block out external noise for immersive listening.,Oyope,2025-07-02,73.31,125100076
Dish Soap Dispenser,Kitchen,Sumurasin,Reallinks,Zoovu,8,90,467252800-6,850709485-6,Stylish dish soap dispenser with sponge holder.,Dynava,2025-06-03,18.29,031000503
Puff Pastry,Food - Bakery,Rybnik,Flipstorm,Buzzbean,62,36,232243863-4,209635023-9,Versatile puff pastry for pies and pastries.,Thoughtbridge,2025-01-02,61.8,011600868
Veggie Lovers Pizza,Food - Frozen Foods,Kadubincarung,,Avamm,13,28,,604247716-1,Frozen pizza loaded with fresh vegetables and mozzarella cheese.,,2025-04-09,46.12,107005953
Almond Flour Pizza Crust,Food - Frozen Foods,Niños Heroes,Fiveclub,Oyonder,61,74,628156025-6,124498206-7,"Low-carb pizza crust made from almond flour, gluten-free.",Dynazzy,2025-07-15,12.41,053908081
Green Smoothie Mix,Food - Beverages,Jurh,Devshare,Meevee,98,85,619032736-2,028891303-5,A convenient powder mix combining greens and fruits for smoothies.,Twitterlist,2025-10-20,11.03,
Honey,Food - Condiments,Mochudi,Browsecat,Youtags,53,17,803101550-3,052567649-X,"Pure and natural honey, great for sweetening.",Flipbug,2025-01-15,28.69,071913650
Travel Mug,Kitchen,Hamburg Harvestehude,Oyoyo,Oyoloo,7,90,,113692757-3,Stainless steel travel mug with spill-proof lid.,Blognation,2025-05-30,17.14,321270742
Pepperoni Pizza Rolls,Food - Snacks,Muḩammad Āghah Wuluswālī,Bubblemix,Youspan,92,92,214137632-7,860649538-7,"Savory pizza rolls filled with pepperoni and cheese, ready to bake and enjoy in minutes.",Thoughtbeat,2025-11-13,33.68,063115738
Water Bottle with Built-in Fruit Infuser,Fitness,Xilanqi,Bubblebox,Skiptube,74,63,166297697-6,375465920-0,Stay hydrated with refreshing flavored water.,Aivee,2025-07-07,,051504665
Reusable Snack Bags,Kitchen,Rio Claro,Skaboo,,46,63,500898907-3,259259763-8,,Mymm,2025-11-13,76.93,091910879
Classic Bagels,Food - Bakery,Daliciasao,Realcube,Eabox,98,35,763912409-3,071821036-0,"Freshly baked bagels, perfect for breakfast or snacks.",Voonix,2025-08-22,33.78,111311743
Cilantro Lime Rice,Food - Grains,Pallasovka,Skimia,Skipstorm,40,49,765858237-9,134219266-4,"Easy-to-prepare rice with cilantro and lime flavors, great as a side.",Wikivu,2025-07-07,44.88,036001808
Tailored Blazer,Clothing - Outerwear,,Eimbee,Quaxo,43,3,128648823-0,879424810-9,,Feedspan,2026-01-21,,241070417
Oven Thermometer,Kitchen,Malšice,,Voonyx,79,61,,812133274-5,High-precision oven thermometer for accurate cooking.,Buzzdog,2025-07-16,39.91,107006091
Non-Stick Baking Sheet,Kitchen,Vuhlehirs’k,Yadel,Pixonyx,18,77,416208815-2,879012984-9,Durable baking sheet coated for easy food release.,,2025-11-29,15.16,113024562
Frozen Edamame,Food - Frozen Foods,Salantai,Wordware,Browseblab,30,11,108256492-3,404395346-1,"Lightly salted frozen edamame, a protein-packed snack.",Ailane,2025-06-30,49.92,101111953
Green Tea Matcha Powder,Food - Beverages,Tanjungkerta,Muxo,Eamia,92,50,765058272-8,604326043-3,High-quality matcha powder for smoothies and baking.,Voomm,2025-08-07,5.48,053174103
Smartphone Tripod,Photography,Grijó,Browsecat,Tagopia,74,47,474452171-1,214460246-8,Adjustable tripod for smartphones and cameras.,Kazio,2025-05-07,25.19,113014909
Frozen Berry Medley,Food - Frozen Foods,Yugawara,Livepath,Quimba,23,81,,,"A mix of strawberries, blueberries, and raspberries, great for smoothies or desserts.",Skimia,2025-11-15,28.31,062204132
Classic Pesto Sauce,Food - Sauces,Kozje,Latz,Thoughtsphere,42,51,406495914-0,153473280-2,"Fresh basil pesto, perfect for pasta or as a sandwich spread.",Twitterbridge,2025-12-10,28.26,104102642
Dish Rack,Kitchen,Ubiaja,Tekfly,Trudoo,96,60,001904274-4,246155224-X,Collapsible dish rack for kitchen countertop use.,Zoonder,2025-10-29,63.41,061020786
Pleated Midi Dress,Clothing - Dresses,Hägersten,Topicshots,Dabshots,100,7,312074834-X,394388284-5,"A stylish midi dress with stylish pleats, suitable for any occasion.",Realfire,2025-12-02,83.84,062201708
Portable Speaker Stand,Audio,Babug,Thoughtworks,Edgeclub,13,37,612170733-X,,Adjustable stand for portable speakers and devices.,Tazzy,2025-07-28,94.65,211372352
Rice Pilaf Mix,Food - Grains,Cincinnati,Innojam,Photofeed,95,97,891415809-8,795785383-8,Quick and easy rice pilaf mix for side dishes.,Devpulse,2025-02-14,17.2,061309229
Buffalo Cauliflower Bites,Food - Freezer,Beutong Ateuh,Flashspan,Twimm,2,70,636072704-8,075539150-0,Spicy cauliflower bites for a vegetarian snack.,Eare,2026-01-30,75.98,073921433
Cauliflower Gnocchi,Food - Frozen Foods,Malé Svatoňovice,Dabvine,Centizu,34,10,648266195-5,444826427-0,"Soft and pillowy gnocchi made from cauliflower, perfect with sauce.",Edgetag,2026-02-10,62.24,072407000
Cranberry Pecan Granola,Food - Breakfast Foods,,Youspan,Voolia,78,64,,114287745-0,Crunchy granola with cranberries and pecans.,Eamia,2025-09-01,,084302698
Non-Toxic Concrete Sealer,Home Improvement,Severomorsk,Roombo,Meetz,62,80,523282817-7,373708878-0,Eco-friendly sealer for protecting concrete surfaces.,Realfire,2025-05-02,39.28,114916488
Wall Art,Home,‘Arīshah,Thoughtblab,Skyvu,51,53,686913484-7,698526526-X,,Skiba,,,062200961
Nail Polish Set,Beauty,Sut-Khol’,Babbleset,Dabvine,5,49,,240051015-6,Assorted nail polish set for vibrant nails.,Zazio,2025-01-19,34.26,061213069
Electric Milk Frother,Kitchen,,Eayo,Zoombox,24,91,600834196-1,482625529-2,,Browsedrive,2026-02-13,74.6,091917254
Teriyaki Sauce,Food - Condiments,Łyse,,Yombu,10,58,149739182-2,289318973-3,Sweet and savory sauce for marinating and glazing meats or vegetables.,Einti,2025-03-31,91.03,101918965
Orange Ginger Vinaigrette,Food - Condiments,,,Blogspan,58,97,311340675-7,619494702-0,,Bluezoom,2025-06-23,4.55,081507124
Electric Griddle,Kitchen,,Eimbee,Linkbuzz,66,30,,998822650-0,Large electric griddle for family meals.,Mudo,2025-03-29,28.02,063114289
Portable Camping Stove,Outdoor,Furongqiao,Quinu,Topiclounge,17,37,368205657-2,856679326-9,Compact camp stove for outdoor cooking.,Skivee,2025-11-06,4.31,061105999
Honey-Balsamic Vinaigrette,Food - Dressing,Hanjiaji,Ozu,Zoovu,16,71,610873202-4,471509336-7,A sweet and tangy vinaigrette dressing for salads.,Zoomcast,2025-02-23,5.35,091212179
Portable Massage Gun,Health,,Roodel,Feedspan,59,8,890979556-5,731269435-7,Personal massager for muscle recovery.,Tazz,2025-09-11,79.69,271979193
Pineapple Rings,Food - Canned Goods,Yishi,,Gabvine,8,60,236629218-X,095970089-7,Delicious canned pineapple rings for desserts or salads.,Yakijo,2025-08-25,98.52,082901282
Fridge Magnet Set,Home,Chengshan,Skynoodle,Jaxworks,35,86,835544505-8,945575660-9,Fun fridge magnets to decorate your kitchen.,Zoomcast,2025-07-01,,031306799
Eco-Friendly Cleaning Cloths,Home,Pinheiros,Blogtag,Leenti,43,5,462599868-9,358435222-3,Reusable microfiber cloths for environmentally friendly cleaning.,Demivee,2025-10-31,35.5,081500493
Herbed Goat Cheese,Food - Cheese,Rochester,Babblestorm,,15,47,649495879-6,414517425-9,"Tangy goat cheese infused with herbs, perfect for snacking.",Rooxo,2025-06-06,98.03,071923226
Guitar Tuner,Music,Surat Thani,Photolist,Mynte,96,20,708350349-4,972177078-7,Clip-on guitar tuner with LCD display.,Voonder,2025-08-20,74.67,211174233
Dried Cranberries,Food - Snacks,Trollhättan,Flashdog,Riffpedia,79,97,104814927-7,,"Sweet and tart dried cranberries, great for salads and baking.",Zoovu,2025-08-25,58.95,031309314
Rechargeable Electric Toothbrush,Health,San Ramón,Kaymbo,Youtags,85,22,946724217-6,430321465-5,Advanced electric toothbrush for effective cleaning.,Bubblebox,2025-09-03,86.03,073921763
Smart Fitness Scale,Fitness,San Jose,Leenti,Lazz,63,92,530443488-9,573417001-1,Bluetooth scale that tracks body composition through an app.,Tanoodle,2025-06-02,74.14,081517897
Oven-Baked Chicken Tenders,Food - Meat,Ravne na Koroškem,Realbridge,Divape,30,69,663933400-3,420007668-3,"Crispy and juicy chicken tenders, perfect for dipping.",Twinder,2025-01-11,72.23,263190634
Chocolate Mint Thins,Food - Snacks,,,Reallinks,95,10,,898511537-5,Mint-flavored chocolate candies for a refreshing treat.,Avaveo,2025-10-25,22.97,042000314
Smart Light Switch,Smart Home,Osekovo,,Geba,56,87,537188865-9,671572909-3,Control lights remotely with this smart switch.,Oyoloo,2025-02-11,83.26,021207028
Wooden Kitchen Utensil Set,Kitchen,Trondheim,Jabbertype,Eire,62,54,,078968033-5,Eco-friendly utensil set made from natural wood.,Realmix,2025-11-11,91.77,083908420
Savory Breakfast Sausage,Food - Meats,Canillo,Topicshots,,78,13,268369925-5,746356610-2,"Frozen sausage patties made with herbs and spices, perfect for breakfast sandwiches.",Voolia,2025-12-30,99.64,111924392
Chickpea Snack Mix,Food - Snacks,,Gevee,Youbridge,40,84,835455593-3,885400630-0,"Crunchy, seasoned chickpeas for a wholesome snack.",Zoombeat,2025-08-07,61.24,072412176
Vanilla Protein Powder,Food - Health/Protein,Gaoqiao,,Skipstorm,87,68,471621642-X,183622750-7,A high-quality protein powder perfect for smoothies and baking.,Linktype,,94.53,044000037
Portable Grill Cover,Outdoor,Aihua,Fadeo,Trunyx,3,79,733617538-4,415654687-X,Durable cover to protect your grill from the elements.,Twimbo,2025-06-11,90.68,271992468
Feta Cheese Crumbles,Food - Dairy,Pho Duc,Rhynoodle,Skipfire,30,81,626532355-5,330274966-X,"Crumbled feta cheese, perfect for salads and Mediterranean dishes.",Tagtune,2026-01-28,22.61,284272654
Coconut Milk,Food - Canned Goods,Rancagadog,Rhynoodle,Aibox,59,26,016654523-6,580152238-7,Rich coconut milk for curries and desserts.,Latz,2025-02-23,67.28,083908381
Pumpkin Pie Spice,Food - Baking,Akhtopol,Voonte,Riffwire,10,64,995069137-0,968356867-X,A blend of spices that brings the taste of fall to your baked goods.,,,9.45,322275487
Sturdy Bookends,Office,,Mymm,Bubbletube,46,41,102538680-9,150796751-9,Stylish bookends to keep books organized on shelves.,Photofeed,2026-01-31,10.25,062205937
Baked Potato Chips,Food - Snacks,Tanjungbatu,Aibox,Edgepulse,63,24,,478255887-2,"Light and crispy baked chips, a healthier snack option.",Thoughtblab,2025-05-19,74.81,
Backpack,Accessories,Lop Buri,Meedoo,Topicblab,77,27,677722634-6,550401374-7,Durable and spacious backpack for travel and school.,,2025-10-31,4.91,111914218
Mini Cordless Vacuum Cleaner,Home Appliances,Praia das Maçãs,Livetube,Skalith,51,31,,566487527-5,Handheld vacuum cleaner for quick and easy cleaning.,,2025-10-05,33.69,042100191
Digital Drawing Tablet,Art Supplies,Zeya,Tagchat,Gigashots,30,9,441755052-2,098410091-1,Tablet for digital drawing and illustration work.,Rhynyx,2025-08-26,,211370354
Chickpea Pancakes,Food - Frozen,Mērsrags,Ozu,Fivebridge,60,18,126869056-2,922137408-4,"Savory pancakes made with chickpea flour, high in protein.",Voonder,2026-01-08,53.04,081211928
Maple Almond Granola,Food - Breakfast,Za‘tarah,,Trudeo,34,45,049621465-9,191759833-5,Crunchy granola with maple flavor and almond pieces for breakfast.,Meezzy,2025-01-01,97.82,031100490
Wireless Range Extender,Electronics,Zhushan Chengguanzhen,,Mybuzz,12,8,797260779-6,620608224-5,Boost your Wi-Fi signal for better coverage.,Zoomlounge,2026-02-17,15.45,071106218
