Name,Manufacturer,Serial Number,Category,Purchase Cost,Purchase Date,Location,Company,Order Number,Quantity,Min Qty,Model Number,Notes,Supplier
Stuffed Grape Leaves,Photolist,394740416-6,Food - Prepared Foods,44.68,2025-09-05,Deranitan,Pixope,4936731008825565,890,80,,"Grape leaves stuffed with rice and herbs, ready to eat.",Centimia
Pumpkin Waffles,Edgeify,820322047-9,Food - Breakfast,92.63,2026-01-26,,Browsezoom,3547364458357245,615,8,,Delicious waffles infused with pumpkin and spices.,Twimbo
Bird Feeder,,242645980-8,Outdoor,,2025-09-06,Kawanishi,Youopia,,765,301,,,Zooveo
Sustainable Wooden Toys,Jaloo,,Toys,97.4,2025-02-15,Midland,Brainbox,491156760480169038,301,128,134452241-6,Eco-friendly toys for learning and imaginative play.,Trudeo
Wireless Charging Pad,,969881783-2,Accessories,68.28,2025-03-11,Meicheng,Tavu,5100131238481999,869,329,019751372-7,Sleek wireless charging pad for smartphones.,Twinder
Rechargeable Laptop Battery Pack,Viva,883742097-8,Electronics,89.59,2026-01-18,Rancapare,,3541325390255165,64,998,847569335-0,Portable battery pack to charge laptops while on the move.,Twimbo
Vegan Mac & Cheese,Photobug,451338920-6,Food - Frozen,87.17,2025-05-27,,Zoozzy,3565963316960541,761,449,594759892-2,Creamy vegan mac and cheese made with cashew cheese.,Zoomcast
Pet Grooming Kit,Zoonoodle,976083427-8,Pets,84.14,2025-06-13,,Skipstorm,,235,577,,Complete grooming kit for dogs and cats.,Centidel
Frozen Spinach,JumpXS,493916518-3,Food - Frozen Foods,14.13,2025-06-03,Luján de Cuyo,Dabvine,3588325983419966,117,135,126455768-X,"Chopped and frozen spinach, ideal for cooking and smoothies.",
Cheddar Cheese Slices,Vipe,743785359-0,Food - Dairy,48.37,2025-09-30,Galesong,Quinu,3568812033848629,683,,465096350-8,"Creamy cheddar cheese slices, perfect for sandwiches and snacks.",Twitterlist
Sliced Ham,Jaxbean,643967675-X,Food - Meat,87.35,2025-07-31,Lianshi,Tavu,36276751915020,18,,368426225-0,"Delicious and fully cooked sliced ham, ready to eat.",Kwilith
Chocolate Dipped Fruit,,749680645-5,Food - Snacks,90.23,,Capiíbary,Meezzy,372301840264792,599,916,,"Fruits dipped in rich chocolate, perfect for desserts.",Thoughtworks
LED Camping Lantern with USB Charging,Jamia,614174978-X,Outdoor,74.42,2025-08-16,Zhili,Yakijo,,943,655,729590340-2,Rechargeable lantern with multiple brightness settings for outdoors.,Flipbug
Crispy Rice Treats,Fivechat,838526475-2,Food - Snacks,39.77,,Solingen,Trilia,3560326794138599,818,822,071820518-9,Classic marshmallow treats made with crispy rice.,Aimbu
Frozen Fruit Medley,,688483122-7,Food - Frozen Foods,74.52,2025-11-29,Babice,Dablist,3587278609344541,820,738,697682071-X,"A mix of strawberries, blueberries, and raspberries, perfect for smoothies.",Mycat
Chia Seed Pudding,Quamba,718661916-9,Food - Snacks,,2026-02-14,Isiolo,Browsecat,5602229232925467,176,621,323647466-1,"Nutritious chia seed pudding in vanilla flavor, ready to eat.",Yacero
Beef Sirloin Steak,Jabbersphere,,Food - Meat,91.01,2025-08-03,,Chatterpoint,5602222016639651,890,461,850742239-X,,Tambee
Baking Powder,Twinder,377320174-5,Food - Baking Goods,33.05,2025-03-25,Padre Burgos,Pixonyx,5602218910664902,666,828,436471638-3,Essential ingredient for baking fluffy cakes and pastries.,Tagtune
Mini Indoor Hydroponic Garden,Plambee,784888862-2,Garden,,2025-12-07,,Eimbee,6771183419317087337,164,461,,Grow herbs indoors with this easy-to-use hydroponic garden system.,Babbleblab
Teriyaki Beef Jerky,Feedspan,992468201-7,Food - Snacks,38.61,2025-03-16,Betania,Gabcube,3558658557577173,821,379,,Savory and chewy beef jerky with teriyaki flavor.,Leenti
Sustainable Wooden Toys,Tagfeed,674930204-1,Toys,60.22,2025-06-23,Baratã,Mycat,3570016791862261,646,594,276546733-1,Eco-friendly toys for learning and imaginative play.,Trilith
Portable Bluetooth Keyboard,Tekfly,512968556-3,Electronics,71.18,2025-06-16,Beja,Zoomlounge,6706212233113047,764,943,612587057-X,,Wikizz
Arcade Game Machine,Thoughtsphere,379297388-X,Gaming,35.16,2025-06-03,Namwala,Skyndu,3549068897544382,877,153,515655325-7,,Avaveo
Almond Crunch Granola Bars,Lazz,253532151-3,Food - Snacks,39.73,2025-02-24,,Meembee,4917384884755259,257,952,037002814-7,Nutty granola bars for healthy snacking.,Rhycero
Sweet Pea Hummus,,142043988-X,Food - Dips,61.52,2025-08-15,Sepolong Timur,Tagtune,3578177000305328,336,,074548626-6,Creamy hummus made with sweet peas and tahini.,Fliptune
Silicone Wine Glasses,Brightbean,403221097-7,Outdoor,30.75,2025-02-26,Kesabpur,Yacero,5602210091943254,207,,,Durable and shatterproof silicone glasses for outdoor use.,Realfire
Compost Bin,Gabtype,397063302-8,Garden,9.3,2025-06-10,Lexington,Jabbersphere,5048374117135030,223,705,100197094-2,Countertop compost bin for kitchen waste.,Innojam
Magnetic Spice Containers,Dynava,876326787-X,Kitchen,42.69,2025-09-23,Perelhal,Topdrive,5602237242294865,965,176,201763445-X,Set of magnetic jars for convenient spice organization.,Quimba
Pumpkin Spice Cookies,Einti,025088790-8,Food - Bakery,,2025-03-16,San Vicente,Edgewire,,256,487,546467384-9,Delicious cookies flavored with pumpkin and spices.,Brainsphere
Peanut Butter Chocolate Clusters,Brainbox,518554219-5,Food - Desserts,43.37,2025-10-25,Wichita,Kwinu,,791,64,216303233-7,Delicious clusters of peanuts and chocolate for a sweet treat.,Abatz
Coconut Oil Spray,Skinder,193168217-8,Food - Cooking Oils,16.63,2025-04-05,,,337941879159373,895,692,,A zero-calorie coconut oil spray for cooking and baking.,Vinte
Vegan Mayonnaise,Ailane,550811456-4,Food - Condiments,82.18,2025-03-27,Kristiansand S,Jaxbean,6767368388638393499,505,102,682565153-6,Plant-based mayonnaise for a creamy taste.,Kwimbee
Energy Bites,Brightdog,293570383-9,Food - Snacks,,2026-01-01,Methven,Babbleset,3560722176277668,467,553,133926556-7,Healthy energy bites made with oats and natural sweeteners.,Ntag
Self-Cleaning Water Bottle,Kaymbo,223004773-6,Fitness,4.06,2025-12-02,Rio Preto da Eva,Muxo,3536949713443252,459,144,340361977-X,Water bottle with built-in UV-C light for self-cleaning.,Rhybox
Kids' Trampoline,Gabcube,,Toys,52.54,2026-01-04,Carepa,,,274,17,713398146-7,Safe and fun trampoline for children.,Twinder
Sweetened Condensed Milk,Roomm,099790408-9,Food - Baking Goods,80.85,2025-05-12,Asykata,,4041596102312261,958,849,,Rich and creamy milk perfect for baking or desserts.,Thoughtmix
Gardening Tool Belt,Skyble,491458818-8,Garden,45.96,,Mandapajaya,Bubbletube,3548334359922164,456,903,791037435-6,,
Pet Hair Removal Brush,,212999578-0,Pets,73.31,2025-08-03,Kamnica,,30598154784547,690,247,805329866-4,Effective brush for removing loose hair from pets.,Voolith
Veggie Lovers Pizza,,736225316-8,Food - Frozen Foods,,2025-11-03,Sapernoye,Voonix,5100143957853001,564,122,670450539-3,Frozen pizza loaded with fresh vegetables and mozzarella cheese.,Brainsphere
Ultra-Thin Laptop Sleeve,Devshare,691017287-6,Accessories,92.76,2025-11-17,,Fliptune,3552067133203336,570,322,117429844-8,Sleek and protective sleeve for laptops and tablets.,
Non-Stick Baking Sheet,Topdrive,180032262-3,Kitchen,75.57,2026-01-29,Lairoka,Tekfly,4905218814300410,266,244,388266993-4,,Mymm
Travel Jewelry Organizer,Yodoo,017440174-4,Accessories,94.64,2026-01-24,La Bélgica,Einti,201659236763561,970,,813221806-X,Compact storage for your jewelry while traveling.,Dynabox
Pet Camera with Treat Dispenser,Twiyo,791432427-2,Pets,30.37,2025-01-18,Luhačovice,Jaxworks,5610440388743490284,182,516,,Monitor and interact with your pet remotely with this camera.,
Pizza Stone,Jaloo,538357783-1,Kitchen,20.93,2025-03-26,Baoshan,Thoughtstorm,3544917120405784,929,864,386439086-9,Ceramic pizza stone for homemade pizzas.,Janyx
Indian Curry Sauce,Rhybox,908108487-9,Food - Condiments,1.05,2025-12-29,Oroqen Zizhiqi,Meeveo,5010125095633113,22,767,046013620-8,,Brainverse
Sports Windbreaker,Yamia,,Clothing - Outerwear,25.13,2026-01-21,Peishe,Linkbridge,5602246865258008,473,968,852386074-6,Lightweight windbreaker for outdoor activities.,Gigashots
Wireless Earbuds Case,Fivechat,549066921-7,Accessories,68.3,2025-01-16,Huitán,Skaboo,4913135738300294,642,371,374641376-1,Protective case for wireless earbuds.,Ntag
Watering Can with Nozzle,Cogidoo,316623339-3,Garden,24.73,2025-03-20,Njeru,Yotz,201789417929036,149,431,241689912-0,Stylish watering can for plants with easy pouring nozzle.,
Organic Ramen Noodles,Tanoodle,991239161-6,Food - Pasta,15.66,2026-01-08,Nanyulinxi,Mita,5038851719655182848,460,201,448412769-5,,Fatz
Garlic Herb Grilled Chicken,Gigaclub,,Food - Frozen Foods,57.92,2025-07-04,Bureya,Jabberstorm,,576,479,108333208-2,,Edgeclub
Crew Neck Sweater,Bubblemix,661368913-0,Clothing - Sweaters,85.79,2025-10-22,Lilin Satu,Nlounge,3553912352946280,663,260,388875370-8,"A comfortable crew neck sweater, great for all seasons.",Yabox
Granola Bars,Trilia,318817473-X,Food - Snacks,25.06,2025-05-17,Yaotian,Flashspan,348868628822497,355,308,,"Crispy and chewy granola bars, perfect for on-the-go.",Meevee
Pressure Cooker,,386421991-4,Kitchen,81.32,2026-02-14,Poteran,Blogpad,,516,180,066926020-7,Instant pressure cooker with multiple cooking settings.,DabZ
Wireless Range Extender,Agimba,761478963-6,Electronics,25.48,,Reforma,Linklinks,3574642458892469,395,210,039080869-5,Boost your Wi-Fi signal for better coverage.,Feedspan
Beach Cover-Up,Talane,,Clothing - Swimwear,33.39,2025-08-21,Ampara,Photojam,3538817861001529,27,585,985287952-9,"Lightweight cover-up perfect for the beach, with a breezy design.",Blogpad
Nordic Berry Smoothie,Blogtag,504066543-1,Food - Frozen Foods,3.3,2025-03-31,,Dazzlesphere,3552486054841850,42,123,431515639-6,Frozen smoothie blend with berries for a quick and healthy breakfast.,Quatz
Smoky BBQ Jackfruit,Zoomcast,789033221-1,Food - Grocery,76.41,2025-09-09,Arai,,3528669104925242,719,364,277355934-7,Pulled jackfruit in a smoky BBQ sauce for a tasty vegan dish.,Jetpulse
Magic Color-Changing Mug,Oyondu,089616073-4,Kitchen,80.32,2025-11-25,Klatakan,Fivespan,379696717052979,878,411,840770468-7,Heat-sensitive mug that changes color when filled with hot liquid.,Fanoodle
Chocolate Chip Energy Balls,Bubbletube,596802761-4,Food - Snacks,56.29,2025-01-28,Khulm,Photojam,5100135007090857,514,,781552815-5,"No-bake energy balls made with oats, chocolate chips, and honey.",Vidoo
Compressible Packing Cubes,Browsedrive,189081643-4,Travel,43.17,2025-03-06,Cicuco,Realmix,3564458498475567,207,275,044108866-X,Organizational cubes for easy packing and travel.,Twitterlist
Herbed Mushroom Risotto,Lajo,245307991-3,Food - Prepared Foods,2.95,2025-12-28,Río Guayabal de Yateras,Browsecat,,129,829,975742646-6,"Creamy risotto made with mushrooms and herbs, perfect as a side dish or main course.",Flipstorm
Vegetable Stir-Fry Kit,Shuffledrive,622363325-4,Food - Produce,15.89,2025-04-05,Zghartā,Trunyx,4041595619370,497,42,934812281-9,"A mix of fresh vegetables with a savory stir-fry sauce, ready to cook.",Centizu
Digital Voice Recorder,,984604195-0,Electronics,83.31,2025-08-22,Zeist,Babbleblab,374288601242398,224,474,188714839-6,High-quality voice recorder for lectures and meetings.,Divape
Tailored Dress Pants,Chatterpoint,856803703-8,Clothing - Bottoms,86.19,2025-12-30,Rogowo,Wikido,5010125717767919,790,580,203062998-7,"Smart tailored dress pants, perfect for work or formal events.",Rhynoodle
Chili Powder,Voonix,621252820-9,Food - Spices,23.83,2025-10-28,Gul’cha,Jetpulse,3552508689092656,306,239,090548275-1,Spicy chili powder to add heat to dishes.,Pixoboo
Chocolate Chip Cliff Bars,Ailane,867554323-9,Food - Snacks,47.7,2025-11-05,Maloarkhangel’sk,Flashdog,6331102342416589857,358,134,883288840-8,Nutritious energy bars packed with chocolate chips.,Gigaclub
Pet Nail Clipper,,249921529-1,Pets,89.69,2025-08-23,,Blognation,201610055387958,447,,261737965-5,Safe and easy-to-use nail clippers for pets.,Voolia
Ergonomic Mouse Pad with Wrist Support,,676957711-9,Office,70.85,2025-08-23,,Zoombeat,633110318520071151,563,294,932890261-4,Comfortable mouse pad designed to reduce wrist strain.,Devcast
Golf Polo Shirt,Chatterbridge,907566986-0,Clothing - Tops,82.23,2025-09-08,Křížová,Eare,633356856766503398,215,120,118696289-5,,Photojam
LED Strip Lights,,485827449-7,Home,65.14,2025-03-03,Hingatungan,Aimbu,3583119797915235,219,892,266852623-X,Colorful LED strip lights for home decoration.,Demizz
Coffee Grinder,,487029946-1,Kitchen,65.32,2025-05-22,Bakersfield,,5233258243884881,419,993,826327783-3,Burr coffee grinder for fresh ground coffee.,Realbridge
Pet Hair Vacuum Cleaner Attachment,Mynte,301230760-5,Pets,42.23,2025-11-02,Jampang Kulon,,6767268514924385490,106,155,245771206-8,Specialized attachment for removing pet hair from surfaces.,Mudo
Trackpad for Laptop,Buzzster,154538428-2,Accessories,40.65,2026-02-13,Golina,,3563078531380920,26,27,555864628-4,Wireless trackpad for enhanced laptop navigation.,Flipopia
Electric Griddle,Wordtune,871199674-9,Kitchen,46.1,2026-02-09,Péruwelz,Skyvu,3565791734953529,613,956,094402825-X,Large electric griddle for family meals.,Devpoint
Honey Roasted Peanuts,,484377267-4,Food - Snacks,75.3,2026-01-18,Solina,Yodo,30077420970859,306,641,894669730-X,"Crunchy peanuts coated in honey, perfect for snacking.",Demizz
Classic Caesar Salad Kit,Quatz,354557617-5,Food - Salads,68.2,,,Rhybox,5010128214450815,54,418,422702310-6,Everything you need for a fresh and delicious Caesar salad.,Chatterpoint
Maple Bacon Popcorn,,243994576-5,Food - Snacks,73.65,2025-04-23,Arkalyk,Gabspot,3538805647597423,435,262,733918982-3,Savory popcorn flavored with maple syrup and bacon bits.,Livefish
Stuffed Peppers with Quinoa,Dabjam,926716574-7,Food - Prepared Meals,72.52,2026-02-02,Bogorodsk,Dabvine,372301533317675,333,298,490950335-8,Bell peppers filled with quinoa and vegetables.,Feedspan
Poppy Seed Dressing,Centizu,209053027-8,Food - Condiments,18.13,2025-04-19,Vasylkiv,Dabtype,67719289991836131,478,754,519218816-4,"A light and tangy dressing with poppy seeds, perfect for salads.",Dabjam
Maple Breakfast Sausage,Kazio,140068319-X,Food - Meat,41.55,2025-12-26,Gaobu,Eabox,,925,,973970032-2,Savory sausage links with a hint of maple flavor.,Zazio
Nutritional Yeast,Rhyloo,886226396-1,Food - Pantry,84.32,2025-12-15,Facatativá,Voomm,374622512430678,344,690,599361696-2,A healthy vegan cheese alternative packed with nutrients and flavor.,Realbuzz
Portable Pet Bathing Tool,Mynte,175531830-8,Pets,89.06,,,Rhycero,6761201123542284,525,,193671468-X,Handheld sprayer designed for washing pets easily.,Rhynyx
Portable Camping Stove,Blogtags,103670350-9,Outdoor,79.33,,Carbonear,Dazzlesphere,3528664506977685,374,499,854792900-2,Compact camp stove for outdoor cooking.,Kaymbo
Honeycrisp Apples,Photobean,,Food - Produce,16.63,2025-12-15,Francisco Sarabia,,,39,60,374399506-9,,
Electrolyte Water Bottle,,,Fitness,15.41,2025-05-21,Bledzew,Tekfly,6388552551950834,402,94,671423198-9,Water bottle that tracks hydration levels and adds electrolytes.,Devpoint
Almond Milk Yogurt,Trilith,049615267-X,Food - Dairy Alternatives,9.78,2025-09-08,Sidaharja,,,271,306,524041833-0,"Creamy yogurt made from almond milk, vegan-friendly.",Eazzy
Cucumber Lime Sparkling Water,Flashset,044940862-0,Food - Beverages,52.46,2025-08-29,Mertert,InnoZ,5602227530691047,767,748,,Refreshing sparkling water with cucumber and lime flavor.,Jabbersphere
Garlic Breadsticks,Katz,302120331-0,Food - Sides,23.26,2025-02-20,Sekampung,Voonte,,469,186,035351567-1,"Ready-to-bake garlic breadsticks, perfect with pasta dishes.",
Herbed Mushroom Risotto,Jabbertype,550062464-4,Food - Prepared Foods,35.57,,Yanguan,Meedoo,3569125887046227,164,,407731326-0,"Creamy risotto made with mushrooms and herbs, perfect as a side dish or main course.",Yodel
Kid's Fruit Snacks,Meevee,314169756-6,Food - Snacks,98.32,2025-01-29,Saipan,Nlounge,5610286587145398,154,641,294801959-1,,
Corn Tortillas,Vipe,540481493-4,Food - Bakery,20.15,2025-12-31,Namboongan,Innotype,5010121425493054,526,886,422098397-X,"Soft and warm corn tortillas, perfect for tacos and burritos.",Tagchat
Home Brewing Starter Kit,Topdrive,941470699-2,Food,39.47,2025-09-29,Yabuli,Yakitri,3562305781370090,986,735,812156524-3,All-in-one kit for brewing beer at home.,Photolist
Lightweight Travel Backpack,Jabbersphere,797116272-3,Travel,31.83,2025-03-27,Saint Helier,Yabox,3578345368965773,796,145,528367584-X,Compact and portable backpack for day trips and travel.,Tagtune
Sushi Roll Kit,Plambee,779639019-X,Food - Cooking Kits,,2025-08-17,,Vinte,5602233890937525,420,174,091860164-9,All ingredients needed to make your own sushi,
Chocolate Protein Powder,Gigabox,150744766-3,Food - Supplements,60.48,2025-02-16,Semerak,Skilith,3528756449558398,591,709,107337485-8,Rich chocolate protein powder for smoothies and baking.,Trunyx
Vegan Mac & Cheese,Tambee,,Food - Frozen,84.84,2025-11-24,Turets-Bayary,Meejo,3587971036672688,942,541,909185418-9,Creamy vegan mac and cheese made with cashew cheese.,Reallinks
Fitness Resistance Bands,,036975348-8,Fitness,19.9,2025-10-26,El Cantón de San Pablo,Dynabox,3537902185521831,886,963,922740382-5,Set of resistance bands for home workouts.,Youfeed
Pasta Maker Machine,Tekfly,788567281-6,Kitchen,82.12,2025-06-11,Silgueiros,Topicware,3567854890816605,48,,535623572-0,Manual pasta maker for creating fresh pasta at home.,Babbleopia
Pet Water Fountain with Filtration,Demivee,385499275-0,Pets,63.26,2025-04-22,Smečno,Fivechat,5602257919898459,627,717,250521374-7,"Continuous stream of fresh water for pets, promoting hydration.",Realfire
Black Bean Spaghetti,InnoZ,,Food - Pasta,15.64,2025-01-14,Bern,Tagchat,3546359747812597,72,459,472108134-0,"High-protein pasta made from black beans, gluten-free.",Livetube
Garden Tool Belt,Midel,860156900-5,Garden,88.37,2025-03-18,Cagayan,Ntag,4508146388763187,241,261,747349992-0,Handy belt for carrying garden tools while working.,Quinu
Pesto Genovese,Feednation,346205561-5,Food - Condiments,23.52,2025-07-08,Varna,,337941536187825,678,202,994540306-0,Traditional basil pesto made with extra virgin olive oil.,Eidel
Cookbook,Riffwire,561818714-0,Books,19.48,2025-09-26,Kadaka,Skyndu,,168,759,461773142-3,Inspiring cookbook with healthy recipes.,Avamm
Nutty Granola Clusters,,476168919-6,Food - Cereal,12.84,2025-09-03,Trudobelikovskiy,Brainlounge,3584932501811428,913,494,,Crunchy granola clusters mixed with nuts and honey.,Quatz
Jalapeño Cornbread,Cogidoo,,Food - Bakery,,2025-03-13,Göteborg,Kwideo,3550220441516186,998,151,788325644-0,Spicy cornbread infused with jalapeños for a kick of flavor at your next meal.,Ooba
Herb Seasoned Couscous,Tanoodle,662790014-9,Food - Grains,39.56,2025-07-09,Ganting,Mynte,,775,821,,"Fluffy couscous seasoned with a blend of herbs, perfect as a side dish.",Eamia
Heart-Shaped Baking Molds,Twitterbeat,836173312-4,Kitchen,72.09,2026-01-06,Koutsopódi,Skidoo,0604987497867249611,7,610,202357227-4,Love-themed molds for creating desserts and treats.,Gabspot
Cranberry Almond Biscotti,Twitterworks,497572834-6,Food - Bakery,7.76,2025-01-07,San Pedro,,3530417199586586,176,830,181753540-4,Crispy and delicious biscotti flavored with cranberry and almond.,
Puffed Rice Cake,Buzzbean,,Food - Snacks,80.09,2025-07-28,Kuroishi,Janyx,3587585060529836,332,495,,,Youopia
Portable Solar Path Lights,Babbleblab,791692322-X,Outdoor,,2025-11-26,Prince Albert,Dazzlesphere,6759562815112006446,660,679,813569770-8,Eco-friendly solar lights for pathways and gardens.,Twimbo
Multifunctional Pocket Tool,Skinder,872053386-1,Tools,36.63,2025-01-03,Bol’shoy Kamen’,Aivee,5100143453198240,708,,675988747-6,Compact pocket tool with various built-in functions.,
Foot Massager Machine,Roomm,207535608-4,Health,13.32,2025-08-17,Cujillo,Innotype,3535187349647316,24,413,517405528-X,Electric foot massager for relaxation and relief.,Yata
Corn Tortillas,Brainsphere,528330179-6,Food - Bakery,67.84,2025-06-21,Huangjindong,Yabox,3557562753240845,336,412,139668497-2,"Soft and warm corn tortillas, perfect for tacos and burritos.",
Sweet Chili Thai Sauce,Brainsphere,,Food - Condiments,79.97,,Uherce Mineralne,Fliptune,4917165052855470,9,608,,Tangy sweet chili sauce perfect for dipping or cooking.,Dynabox
Whole Wheat Pita Bread,Kimia,439212458-4,Food - Bread,98.68,2025-12-26,Yaté-Barrage,Agimba,,843,187,248292104-X,,Yadel
LED Christmas Lights,Babbleset,706890266-9,Home,,2025-05-31,Minamata,,201861272869670,85,237,522610366-2,Eco-friendly LED lights for festive decorations.,Twimbo
Canvas Tote Bag,Twitterwire,954778336-X,Clothing - Accessories,49.78,2026-02-14,København,Fanoodle,5170950061238449,887,996,415252833-8,"Durable canvas tote bag, perfect for everyday use.",Gigazoom
Insulated Sport Tumbler,Devpulse,920567388-9,Fitness,95.05,2025-07-23,,Realmix,4082220597037,341,,789548836-8,Vacuum-insulated tumbler for beverages on the go.,Yambee
Granola Bars,Kazu,054119088-1,Food - Snacks,,2025-06-25,Grudë-Fushë,Izio,5602254747509374,962,577,950727854-0,,Yamia
Organic Brown Sugar,Vimbo,274499548-7,Food - Baking,40.11,2025-12-20,Tyringe,Skimia,,411,78,680784053-5,Natural sweetener for baking and cooking.,JumpXS
Peach Green Tea,Avamm,,Food - Beverages,77.4,2025-02-01,Trancas,Shufflebeat,3538606095694393,714,39,762135341-4,"Refreshing green tea infused with peach, perfect for a hot day.",
Chocolate Protein Powder,Agimba,615010601-2,Food - Supplements,84.96,2026-02-07,Noşratābād,Buzzdog,3532331283696086,81,591,,Rich chocolate protein powder for smoothies and baking.,Camimbo
Collapsible Water Bottle,Dablist,681028122-3,Fitness,81.23,,Batallas,Edgepulse,5893269735419400,549,720,,Space-saving collapsible bottle for outdoor activities.,Oyoba
Plant-Based Cookbook,Roombo,918752273-X,Books,7.07,2025-07-30,Viña del Mar,Edgeclub,3587833680549432,150,269,161593642-4,Delicious recipes focusing on plant-based ingredients.,Yacero
LED Camping Lantern with USB Charging,Dynabox,216902308-9,Outdoor,24.39,2025-06-12,Iperó,Pixonyx,3532803375171871,989,633,208030279-5,Rechargeable lantern with multiple brightness settings for outdoors.,Topicshots
Pistachio Ice Cream,Katz,011382246-4,Food - Frozen Desserts,43.53,2025-06-11,Yuanda,,50385558395284257,675,679,791049357-6,Creamy pistachio-flavored ice cream with real nuts.,Pixoboo
Teriyaki Sauce,Riffwire,275978198-4,Food - Condiments,32.82,2025-06-18,,Flashspan,4903633758784043,432,138,,Sweet and savory sauce for marinating and glazing meats or vegetables.,Jamia
Chiffon Blouse,Agimba,767607795-8,Clothing - Shirts,16.89,2025-06-22,Klau,Ooba,6304230110574723,989,248,225286270-X,Elegant chiffon blouse perfect for work or outings.,Twitterbeat
Teriyaki Chicken Wings,Omba,341862051-5,Food - Frozen Food,13.04,2026-02-15,Unión,Thoughtstorm,6386829725292976,150,726,121218962-0,Flavorful chicken wings marinated in a sweet teriyaki glaze.,Fadeo
Wall Calendar,,445463821-7,Home,64.29,2026-01-28,Amos,Kwideo,374288827632646,683,7,893241675-3,Beautiful wall calendar for organizing your schedule.,Edgetag
Maple Oatmeal,Tagopia,304635922-5,Food - Breakfast,44.4,2025-09-30,Xiaogang,Babblestorm,,392,595,729464432-2,Delicious maple-flavored oatmeal for a quick breakfast.,Gigashots
Sour Cream,Zoombox,729767085-5,Food - Dairy,93.59,2025-09-03,Chor,Avavee,3549638350373634,346,942,206297004-8,,Innojam
Sesame Noodles,Youspan,147958054-6,Food - Grab-and-Go,97.33,2025-02-19,Magersari,Skajo,337941355882787,303,601,221626989-1,"Chilled noodles dressed in sesame sauce, ready to eat.",Skyble
Sculpting Kit,Twinder,066137870-5,Art Supplies,27.47,2025-05-12,Quva,Photobean,3574735215996928,518,895,248488661-6,Complete sculpting tools for artists.,Babbleopia
Premium Flashlight,Meezzy,,Outdoor,55.27,2025-11-05,Victoria,Yakijo,3547122614607915,988,433,734977166-5,High-intensity flashlight with adjustable focus and brightness.,Quire
Tandoori Chicken Marinade,Bluezoom,741501668-8,Food - Condiments,91.93,2025-06-20,Mujães,,3537566934240355,47,95,,Delicious and tangy marinade for grilling or baking chicken.,Kazu
Chili Beans (canned),Tavu,101675625-9,Food - Canned Goods,58.65,2025-05-22,Lillehammer,Dynabox,3558980669220421,872,177,,"Canned beans with chili sauce, perfect for chili dishes.",Zava
Buffalo Chicken Wraps,,,Food - Prepared Meals,12.86,2025-06-18,Łąck,Browsezoom,3583754365238766,918,239,868272673-4,Savory wraps with buffalo chicken and fresh vegetables.,Mydeo
Almond Milk Yogurt,Skibox,256653459-4,Food - Dairy Alternatives,,2025-07-14,Suban,,3577970681378650,806,26,999474565-4,"Creamy yogurt made from almond milk, vegan-friendly.",
Garlic Herb Seasoning,Rhyloo,167246244-4,Food - Spices,76.37,2025-01-29,Zawichost,Livefish,3542673912226183,268,584,363602199-0,A blend of herbs and garlic for seasoning meats and vegetables.,
Non-Toxic Concrete Sealer,Bubblemix,955742761-2,Home Improvement,32.27,2025-10-31,Banjar Laing,Youopia,5100149400476746,614,858,695575012-7,Eco-friendly sealer for protecting concrete surfaces.,Skiptube
Herb Drying Rack,Zoomcast,823984918-0,Garden,,2025-06-17,Bang Kho Laem,,3575828956014263,474,984,731861169-0,Mesh drying rack for preserving herbs and flowers.,Yakitri
Sun-Dried Tomatoes,,959269590-3,Food - Vegetables,,2025-07-29,,Thoughtstorm,,419,767,683351966-8,,Skipfire
Wireless HDMI Transmitter,Viva,212952015-4,Electronics,85.44,2025-08-31,,Babbleopia,36850925029916,115,,206952329-2,Stream HD video wirelessly to your TV.,Fivechat
Smartphone Hand Grip,Trilith,154618177-6,Accessories,79.02,2025-10-26,Ash Shaykh ‘Uthmān,Tagopia,3530097301511944,248,180,445051140-9,Sturdy grip to hold your phone securely while taking selfies.,Skalith
Maple Bacon Jerky,,342292667-4,Food - Meat,90.75,2026-01-28,Dvorovi,Skinder,3560830780833360,936,,969396817-4,Savory bacon jerky coated with maple flavoring.,Vitz
Lemon Garlic Marinade,Divavu,376024977-9,Food - Condiments,52.01,2025-08-24,Talodi,Oyondu,4041599877206,99,,055058253-3,"A zesty marinade made with lemon juice and garlic, ideal for chicken or fish.",Lajo
Hiking Gaiters,JumpXS,,Outdoor,82.48,2025-11-27,Omoku,Midel,,960,886,074513044-5,Protective gaiters to keep dirt and debris out of shoes during hikes.,Youfeed
Spicy Snack Mix,Gigaclub,366431811-0,Food - Snacks,,2025-02-15,,Wordware,3570954437213087,844,374,977397039-6,A crunchy blend of nuts and pretzels with a spicy kick.,
Fitness Tracker Watch,Kimia,089633405-8,Wearable Tech,,2025-11-09,Trawniki,Mybuzz,5002351504029855,605,478,042814230-3,Water-resistant activity tracker and smartwatch features.,Babblestorm
Crispy Kale Chips,,,Food - Snacks,,2025-08-22,Irving,Devpoint,4017957453562849,10,951,354483864-8,"Baked kale chips seasoned for a healthy, crunchy snack.",Podcat
Garden Hose Reel,Divanoodle,144474066-0,Garden,77.65,2025-08-18,Ignacio Zaragoza,Roomm,50188389829654140,531,555,566522446-4,Compact hose reel to keep your garden tidy.,Quamba
